SHZH	Auxiliary Heating
MIN	Minute
TAGE	Days
PORT	Port
CONTROL	Control
PROGRAMM	Program
TASTER	Button
DATUM	Date
TUNER	Tuner
INTERN	Internal
INJ	Injector
ALLE	All
HDDOWNLOAD	HDD Download
BEST	Best
FZM	Vehicle Center Module
ROUTINE	Routine
VA	Front Axle
BAND	Assembly Line
MIT	With
KALIBRIERDATEN	Calibration Data
VEHICLE	Vehicle
HOEHE	Altitude
LI	Left
STAR	Star
BIT	Bit
EE	EEPROM
BETRIEBSART	Operating Mode
BETRIEBSDATEN	Operating Data
TP	Transport Protocol
LWM	Air Mass Sensor
SVS	Service
TEMPERATURSENSOR	Temperature Sensor
BEDIENTEIL	Control Unit
SERVO	Servo
ANTWORTET	Responds
MAP	Map
ANHEBUNG	Increase
LENKSAEULE	Steering Column
EMERGENCY	Emergency
ADDRESS	Address
RESETZAEHLER	Reset Counter
ZURUECKSETZEN	Reset
ZUSTAND	State
EGS	Transmission Control
ISTUFE	Integration Level
LW	Steering Angle
KENNUNG	Identifier
DRUCKRAMPE	Pressure Ramp
APPLIKATION	Application
AUSSETZER	Misfire
TYP	Type
FZG	Vehicle
LENKSTOCK	Steering Column Switch
KANAELE	Channels
QUALITAET	Quality
VIDEOVERBINDUNG	Video Connection
SCHNELLTEST	Quick Test
WATCHDOG	Watchdog
SEND	Send
TOTALMILAGE	Total Mileage
PRECALIB	Pre-Calibration
FENSTER	Window
GENERAL	General
MIKROSCHRITT	Microstep
BEREICH	Range
GERAETESUCHE	Device Search
INITIALIZATION	Initialization
DIAGNOSTIC	Diagnostic
MILAGE	Mileage
HWNR	Hardware Number
ADRESSBUCH	Address Book
TELEFONNUMMER	Phone Number
ZERTIFIKAT	Certificate
ERGEBNIS	Result
ALARMTRIGGER	Alarm Trigger
SEC	Second
ANTENNE1	Antenna 1
PHY	Physical Layer
MODUL	Module
TEMPERATURE	Temperature
FESTELLKRAFT	Clamping Force
AUFRUFE	Calls
CONTROLFELD	Control Field
HECKSCHEIBE	Rear Window
TRIP	Trip
HANDJUSTAGE	Manual Adjustment
LENKRADHEIZUNG	Steering Wheel Heating
EICHLAUF	Calibration Run
LOCATION	Location
RAILDRUCK	Rail Pressure
GENERATOR	Alternator
SPRITZBEGINN	Injection Start
STANDHEIZEN	Auxiliary Heating
AIM	AIM
DIAGNOSEBIT	Diagnostic Bit
FONDKLIMA	Rear Climate Control
KOMMUNIKATION	Communication
MONTAGEMODE	Assembly Mode
MID	MID
SIGNALAUSGABE	Signal Output
CANFRAME	CAN Frame
ARGUMENT	Argument
ZUSATZFUNKTIONEN	Additional Functions
PERFORMANCE	Performance
LOCKSTATE	Lock State
TESTER	Tester
ATMEL	Atmel
WD	Watchdog
FZ	Vehicle
CORR	Correction
PAIRED	Paired
EINFAHR	Break-In
SERVOTRONIK	Servotronic
TESTBIT	Test Bit
ASW	Application Software
STARTWERTPROGRAMMIERUNG	Start Value Programming
EXTRA	Extra
HERSTELLINFO	Manufacturing Info
PROGRAMMCODE	Program Code
LISTE	List
HERSTELLDATUM	Manufacturing Date
NORM2	Norm 2
PROGRAMMERSTELLUNG	Program Creation
COMPLETION	Completion
SDIAG	Service Diagnosis
AKTION	Action
CAT	Catalyst
ADAS	ADAS
ISTKRAFT	Actual Force
ANSAUGLUFTTEMPERATUR	Intake Air Temp
MAPPINGS	Mappings
ATMOSPHAERENDRUCK	Atmospheric Pressure
BATTERIELADUNGSZUSTAND	Battery Charge State
BEDIENSCHALTER	Control Switch
NETZWERK	Network
WOCHEN	Weeks
AUSLASTUNG	Load
EA	Input Output
STRECKE	Distance
ILLUMINATION	Illumination
NMAX	Max Speed
GANGWAHL	Gear Selection
GERAETE	Devices
GETRIEBETEMPERATUR	Transmission Temperature
RECEIVER	Receiver
HFMS	Hot Film Air Mass Sensor
IG	Ignition
INPUTPEGEL	Input Level
INSTR3	Instrument 3
ALARMCOUNTER	Alarm Counter
KL50	Terminal 50
ENTPRELLT	Debounced
LENKSEITE	Steering Side
LETZTEN	Last
BEDIENSTATISTIK	Operating Statistics
INKREMENT	Increment
PARKBREMSE	Parking Brake
PRIMAERSPEICHER	Primary Memory
RADGESCHWINDIGKEITEN	Wheel Speeds
ROHWERTE	Raw Values
FREI	Free
SHIFTLEV	Shift Lever
NACHRICHT	Message
SOFTWARELOADING	Software Loading
STATUSBYTE1	Status Byte 1
STEUERORT	Control Location
NOX	NOx
TEMPERATURKOLLEKTIV	Temperature Collective
UMGEBUNGSDRUCK	Ambient Pressure
VERSTELLWINKEL	Adjustment Angle
VERBRAUCHERPRIORITAETEN	Consumer Priorities
WASCHWASSER	Washer Fluid
ADR	Address
ANTRIEBE	Drives
AUSRICHTUNG	Alignment
PER	Per
CMD	Command
DEMO	Demo
DREHMOMENT	Torque
EINZELADRESSIERUNG	Single Addressing
ANSTEUERSIGNAL	Control Signal
GLUEH	Glow
SPUELEN	Purge
KOMMUNIKATIONSTEST	Communication Test
KURZHUB	Short Stroke
ORANGE	Orange
FLAP	Flap
NOTOK	Not OK
DIREKT	Direct
TASTENBELEUCHTUNG	Button Illumination
RGB	RGB
SEITENSCHEIBENHEIZUNG	Side Window Heating
UMWAELZPUMPE	Circulation Pump
SRA	Headlight Washer
ANZEIGEN	Displays
AUSLIEFERZUSTAND	Delivery State
WARNLAMPE	Warning Lamp
WISCHERMOTOR	Wiper Motor
ENDANSCHLAG	End Stop
XDUMP	X Dump
UEBERWACHUNGSBEREICHE	Monitoring Ranges
COUNTS	Counts
SW	Software
KALIBRIERUNG	Calibration
MPC	Power Controller
GET	Get
ERROR	Error
REGISTRY	Registry
GPS	GPS
BYTE	Byte
FBD	Remote Key
LOGGER	Logger
WUP	Wake-Up
AUTO	Auto
SCHALTER	Switch
STATION	Station
STUFE	Stage
EINSCHALTEN	Switch On
GATEWAY	Gateway
EMF	Park Brake
ASCET	ASCET
SELFTEST	Self-Test
MD	Torque
KLIMA	Climate
CD	CD
FUNKTIONEN	Functions
AGR	EGR
SIMULATION	Simulation
ABS	ABS
ETHERNET	Ethernet
QUALITY	Quality
EINZELN	Individual
LOGISTIC	Logistic
VENTILKENNLINIE	Valve Curve
MENGE	Quantity
NICHT	Not
MOT	Engine
RAMPE	Ramp
NOTLAUF	Limp Mode
DISPLAYLISTE	Display List
STUETZPUNKTGITTER	Support Point Grid
ANFAHREN	Start
ROH	Raw
MONTAGE	Assembly
ZF	ZF
INBETRIEBNAHME	Commissioning
VANOSSPUELEN	VANOS Flush
SPRACHPAKET	Language Pack
AUTOINIT	Auto Init
CHECKCONTROL	Check Control
DWG	Wheel Speed Sensor
EV1	EV1
TRACKING	Tracking
LEVELUP	Level Up
VOLUMEAUDIO	Volume Audio
ENSEMBLE	Ensemble
OEFFNEN	Open
VERSCHLEISSDATEN	Wear Data
STARTWERTE	Start Values
DISP	Display
ADAPTIONSSPEICHER	Adaptation Memory
STEUERGERAET	Control Unit
MONTAGEBETRIEB	Assembly Mode
RESULT	Result
REPROG	Reprogram
MCGW	Central Gateway
FUELTANK	Fuel Tank
OC3	Occupant Detection
TELEFONNUMMERN	Phone Numbers
PRE	Pre
PLIP	Remote Unlock
BROWSER	Browser
STATISTIKDATENSATZ	Statistics Record
ALIVE	Alive
ODER	Or
ANTENNE2	Antenna 2
BASESTATION	Base Station
BETRIEBSMODE	Operating Mode
DISKRET	Discrete
DIGITALEINGAENGE	Digital Inputs
EXT	External
FILTER	Filter
FW	Firmware
HIGHSYNCCONNECTION	High Sync Connection
IMAALLE	IMA All
IODIGITAL	IO Digital
MASKE	Mask
CONNTABLE	Connection Table
KLAPPENPOSITION	Flap Position
PEDALWERTGEBER	Pedal Sensor
VENTILE	Valves
RDS	RDS
FERTIGUNG	Production
STROMABGLEICH	Current Calibration
TEMPERATURABSCHALTWERTE	Temperature Cutoff Values
VERST	Amplifier
WLC	Wireless Charging
ALARMTEST	Alarm Test
TESTSTIM	Test Stimulus
FUNKTIONSPRUEFUNG	Function Test
KALTLUFT	Cold Air
ANSTOSSEN	Trigger
MOTOREN	Motors
PRUEFMODUS	Test Mode
SIMULTAN	Simultaneous
SVT	Vanos Adjustment
