ENDE	End
LEAR	Learn
ABGLEICH	Adjustment
NW	Camshaft
SONDE	Sensor
NKAT	Main Catalyst
DK	Throttle
ADAP	Adaptation
PWG	Accelerator Pedal Sensor
LLERH	Idle Speed Increase
ARG	EGR
MIL	MIL
AN	On
KFK	Map Cooling
PROGRAMMIEREN	Program
SCHEINWERFER	Headlight
FUNC	Function
MWB	Measured Value Block
EKP	Fuel Pump
STROM	Current
STA	Starter
LAGE	Position
SENSOR	Sensor
ECU	ECU
ANSCHLAG	Stop
KEY	Key
AUSL	Exhaust
LSVK1H	O2 Sensor Pre-Cat Bank1 Heater
TRANSPORTSICHERUNG	Transport Lock
ABGLEICHWERT	Adjustment Value
ADAPTIONSWERTE	Adaptation Values
CBS	CBS Service
LINKS	Left
DME	DME
PRUEFEN	Check
GEBER	Sensor
RE	Right
SLEEP	Sleep
LAMBDASONDEN	Oxygen Sensors
UMA	Ambient
LOCK	Lock
INT	Internal
ISTLAGE	Actual Position
KVA	Fuel Quantity Adjustment
PWG2	Accelerator Pedal Sensor 2
PUMPE	Pump
VERSORGUNG	Supply
DMTLV	Tank Leak Module Valve
HLS1	Oxygen Sensor Heater 1
EINLEGEN	Engage
SOLLWERT	Target Value
JOBS	Jobs
VORGEBEN	Preset
SCHLIESSZEIT	Dwell Time
ANALYSE	Analysis
ABFRAGEN	Query
WS	Workshop
BILDEN	Form
FORTSETZEN	Continue
ENERGIESPARMODE	Energy Saving Mode
FREEZE	Freeze
FUSSHEBELFEHLBEDIENUNG	Pedal Misuse
PARAM	Parameter
ZV	Central Locking
MEHRFACHSTARTWERTABGLEICH	Multi Start Value Adjustment
RBM	RBM
ENERGY	Energy
OFF	Off
SER	Serial
ER	Recognition
BUS	Bus
ANT	Drive
BORDSPANNUNG	System Voltage
TIMEOUT	Timeout
DFMONITOR	Diagnostic Fault Monitor
EL	Electric
EOL	EOL
OHNE	Without
FAHRMODUSZAEHLER	Drive Mode Counter
FEHLERZUSTAENDE	Fault States
FREIGABEZAEHLER	Enable Counter
GASPEDAL	Accelerator Pedal
GRIDVERSCHIEBUNG	Grid Shift
INPUT	Input
LUFTTEMP	Air Temperature
LAST	Load
LICHT	Light
LUFTMASSE	Air Mass
MDK1	Throttle 1
MOTORLAUFUNRUHE	Engine Roughness
POTI1	Potentiometer 1
SCHAERFEN	Arm
STELLUNG	Position
SAF	SAF
HALTE	Hold
TMO	Timeout
STEUERGERAETE	Control Units
BELADUNGSSENSOR	Load Sensor
DIMMER	Dimmer
FOERDERMENGE	Delivery Quantity
LWR	Headlight Range Control
NF	NF
SCHALTEN	Switch
BLINKER	Turn Signal
KOMBI	Instrument Cluster
TESTTON	Test Tone
ZCS	Vehicle Order
SMC	SMC
DMTL	Tank Leak Module
MESSWERTBLOCK	Measurement Block
STOP	Stop
WINKEL	Angle
VKAT	Pre-Catalyst
TV	Duty Cycle
SG	Control Unit
VENTIL	Valve
BETRIEBSSTUNDENZAEHLER	Operating Hours Counter
ADC	ADC
SELEKTIV	Selective
VERSTELLEN	Adjust
HW	Hardware
NUR	Only
BETR	Operation
GLF	GLF
SIGNAL	Signal
WERT	Value
VERSTELLZEIT	Adjustment Time
AIF	AIF
EEPROM	EEPROM
TANK	Tank
SET	Set
FGRL	Cruise Control
INTEGRATOR	Integrator
LSVK2H	O2 Sensor Pre-Cat Bank2 Heater
EX	Exhaust
ACCESS	Access
AIC	AIC
CHECK	Check
KOMPLETT	Complete
STARTWERT	Start Value
HEX	Hex
RUECKSETZEN	Reset
TELEGRAMM	Telegram
ECOS	ECOS
ANALOG	Analog
VOLT	Volt
FASTA	FASTA
KL15	Terminal 15
REFLAGE	Reference Position
DISPLAY	Display
SCHRITTVERLUSTE	Step Losses
VERTEILUNG	Distribution
LH	Air Mass Meter
HLS2	Oxygen Sensor Heater 2
RADIO	Radio
ABSCHALTBEDINGUNG	Shutoff Condition
VARIANTEN	Variants
VERDECKLAUF	Convertible Top Run
CASSETTENDECK	Cassette Deck
AUSSTATTUNG	Equipment
LAENDERVARIANTE	Country Variant
CURRENTUIFDATATABLE	Current UIF Data Table
WEITER	Continue
EMPFANG	Reception
FRAME	Frame
GETRIEBEDATEN	Transmission Data
NORMALER	Normal
RATIOS	Ratios
SAVING	Saving
ROM	ROM
SIA	Service Interval
COMMUNICATION	Communication
BREMSLICHTSCHALTER	Brake Light Switch
CODIER	Coding
DIAGNOSEWERTE	Diagnostic Values
MECH	Mechanical
VON	From
PLAUSIBILISIERUNG	Plausibility Check
FAHRZEUGTESTER	Vehicle Tester
FEINLECKMESSUNG	Fine Leak Measurement
FUNKSCHLUESSEL	Remote Key
GEBERRAD	Sensor Wheel
GROBLECKMESSUNG	Coarse Leak Measurement
ISTGANG	Actual Gear
KU	KU
LEITUNG	Line
MESSSTRECKEN	Measurement Sections
SOLLDREHZAHL	Target RPM
MDK2	Throttle 2
NOCKENWELLE	Camshaft
OLD	Old
SCHALTERSTATI	Switch States
STOERANZEIGE	Fault Display
TASTVERHAELTNIS	Duty Cycle
MV	Solenoid Valve
TKA	TKA
ABGASKLAPPE	Exhaust Flap
VORN	Front
AUSBLENDEN	Suppress
FOTOZELLE	Photocell
KUPPVENTIL	Clutch Valve
MANIPULATION	Manipulation
MONITOR	Monitor
NTSC	NTSC
REFERENZLAUF	Reference Run
FL	Front Left
TESTPLATZ	Test Bench
AUSGEBEN	Output
EV	Solenoid Valve
HEIZUNG	Heating
CODIERDATEN	Coding Data
DIGITAL	Digital
AUSLASS	Exhaust
DKP	Throttle Position
LAUFUNRUHE	Misfire
KUPPLUNG	Clutch
FG	Vehicle
IN	Input
MESS	Measure
INIT	Init
DETAIL	Detail
POWER	Power
CRASHDATEN	Crash Data
MW	Measured Value
MESSWERTE	Measured Values
LSH	Oxygen Sensor Heater
FADER	Fader
ANSTEUERUNG	Activation
SLS	Tank Leak Diagnosis
LECK	Leak
LUFTTEMPERATUR	Air Temperature
PLUS	Plus
LMM	Air Mass Meter
MDK	Throttle Valve
VIMDISA	Intake DISA
TIMING	Timing
BAUDRATEN	Baud Rates
CHECKSUMME	Checksum
RECHTS	Right
CONFIG	Config
HERSTELLDATEN	Manufacturing Data
ANZEIGE	Display
SCHEINWERFERHERSTELLERDATEN	Headlight Manufacturer Data
REGELUNG	Control
INPUTS	Inputs
ABBAUEN	Reduce
FGRMOT	Cruise Control Motor
KLOPF	Knock
SOLLAGE	Target Position
MOTORDREHZAHL	Engine Speed
WAEHLHEBEL	Selector Lever
TEMPERATURVERTEILUNG	Temperature Distribution
CASSETTE	Cassette
GAL	Speed Volume
HLS3	Oxygen Sensor Heater 3
